California,5711229
Texas,-585443
Florida,-371686
New York,2105147
Pennsylvania,106233
Ohio,-468344
Illinois,822424
Michigan,154188
North Carolina,-74458
Georgia,-21078
New Jersey,750274
Virginia,450921
Washington,852769
Massachusetts,1667938
Arizona,10457
Wisconsin,12875
